sample,library,lane,fastq_1,fastq_2
IH017,ZKDN260009730-1A,L7,/data/fastq/IH017/IH017_ZKDN260009730-1A_23H7KYLT3_L7_1.fq.gz,/data/fastq/IH017/IH017_ZKDN260009730-1A_23H7KYLT3_L7_2.fq.gz
IH017,ZKDN260009730-1A,L4,/data/fastq/IH017/IH017_ZKDN260009730-1A_23N7LGLT4_L4_1.fq.gz,/data/fastq/IH017/IH017_ZKDN260009730-1A_23N7LGLT4_L4_2.fq.gz
IH030,ZKDN260009746-1A,L8,/data/fastq/IH030/IH030_ZKDN260009746-1A_23H7KYLT3_L8_1.fq.gz,/data/fastq/IH030/IH030_ZKDN260009746-1A_23H7KYLT3_L8_2.fq.gz
IH030,ZKDN260009746-1A,L4,/data/fastq/IH030/IH030_ZKDN260009746-1A_23N7LGLT4_L4_1.fq.gz,/data/fastq/IH030/IH030_ZKDN260009746-1A_23N7LGLT4_L4_2.fq.gz
IH173,ZKDN260009734-1A,L7,/data/fastq/IH173/IH173_ZKDN260009734-1A_23H7KYLT3_L7_1.fq.gz,/data/fastq/IH173/IH173_ZKDN260009734-1A_23H7KYLT3_L7_2.fq.gz
IH271,ZKDN260009731-1A,L7,/data/fastq/IH271/IH271_ZKDN260009731-1A_23H7KYLT3_L7_1.fq.gz,/data/fastq/IH271/IH271_ZKDN260009731-1A_23H7KYLT3_L7_2.fq.gz
IH328,ZKDN260009732-1A,L7,/data/fastq/IH328/IH328_ZKDN260009732-1A_23H7KYLT3_L7_1.fq.gz,/data/fastq/IH328/IH328_ZKDN260009732-1A_23H7KYLT3_L7_2.fq.gz
IH337,ZKDN260009733-1A,L7,/data/fastq/IH337/IH337_ZKDN260009733-1A_23H7KYLT3_L7_1.fq.gz,/data/fastq/IH337/IH337_ZKDN260009733-1A_23H7KYLT3_L7_2.fq.gz
IH402,ZKDN260009759-1A,L8,/data/fastq/IH402/IH402_ZKDN260009759-1A_23H7KYLT3_L8_1.fq.gz,/data/fastq/IH402/IH402_ZKDN260009759-1A_23H7KYLT3_L8_2.fq.gz
IH402,ZKDN260009759-1A,L4,/data/fastq/IH402/IH402_ZKDN260009759-1A_23N7LGLT4_L4_1.fq.gz,/data/fastq/IH402/IH402_ZKDN260009759-1A_23N7LGLT4_L4_2.fq.gz
IH410,ZKDN260009760-1A,L3,/data/fastq/IH410/IH410_ZKDN260009760-1A_23N7LGLT4_L3_1.fq.gz,/data/fastq/IH410/IH410_ZKDN260009760-1A_23N7LGLT4_L3_2.fq.gz
IH426,ZKDN260009736-1A,L7,/data/fastq/IH426/IH426_ZKDN260009736-1A_23H7KYLT3_L7_1.fq.gz,/data/fastq/IH426/IH426_ZKDN260009736-1A_23H7KYLT3_L7_2.fq.gz
IH426,ZKDN260009736-1A,L4,/data/fastq/IH426/IH426_ZKDN260009736-1A_23N7LGLT4_L4_1.fq.gz,/data/fastq/IH426/IH426_ZKDN260009736-1A_23N7LGLT4_L4_2.fq.gz
IH430,ZKDN260009737-1A,L7,/data/fastq/IH430/IH430_ZKDN260009737-1A_23H7KYLT3_L7_1.fq.gz,/data/fastq/IH430/IH430_ZKDN260009737-1A_23H7KYLT3_L7_2.fq.gz
IH430,ZKDN260009737-1A,L4,/data/fastq/IH430/IH430_ZKDN260009737-1A_23N7LGLT4_L4_1.fq.gz,/data/fastq/IH430/IH430_ZKDN260009737-1A_23N7LGLT4_L4_2.fq.gz
IH437,ZKDN260009761-1A,L3,/data/fastq/IH437/IH437_ZKDN260009761-1A_23N7LGLT4_L3_1.fq.gz,/data/fastq/IH437/IH437_ZKDN260009761-1A_23N7LGLT4_L3_2.fq.gz
IH489,ZKDN260009738-1A,L7,/data/fastq/IH489/IH489_ZKDN260009738-1A_23H7KYLT3_L7_1.fq.gz,/data/fastq/IH489/IH489_ZKDN260009738-1A_23H7KYLT3_L7_2.fq.gz
IH533,ZKDN260009740-1A,L8,/data/fastq/IH533/IH533_ZKDN260009740-1A_23H7KYLT3_L8_1.fq.gz,/data/fastq/IH533/IH533_ZKDN260009740-1A_23H7KYLT3_L8_2.fq.gz
IH533,ZKDN260009740-1A,L4,/data/fastq/IH533/IH533_ZKDN260009740-1A_23N7LGLT4_L4_1.fq.gz,/data/fastq/IH533/IH533_ZKDN260009740-1A_23N7LGLT4_L4_2.fq.gz
IH566,ZKDN260009739-1A,L7,/data/fastq/IH566/IH566_ZKDN260009739-1A_23H7KYLT3_L7_1.fq.gz,/data/fastq/IH566/IH566_ZKDN260009739-1A_23H7KYLT3_L7_2.fq.gz
IH583,ZKDN260009735-1A,L7,/data/fastq/IH583/IH583_ZKDN260009735-1A_23H7KYLT3_L7_1.fq.gz,/data/fastq/IH583/IH583_ZKDN260009735-1A_23H7KYLT3_L7_2.fq.gz
IH603,ZKDN260009747-1A,L8,/data/fastq/IH603/IH603_ZKDN260009747-1A_23H7KYLT3_L8_1.fq.gz,/data/fastq/IH603/IH603_ZKDN260009747-1A_23H7KYLT3_L8_2.fq.gz
IH603,ZKDN260009747-1A,L4,/data/fastq/IH603/IH603_ZKDN260009747-1A_23N7LGLT4_L4_1.fq.gz,/data/fastq/IH603/IH603_ZKDN260009747-1A_23N7LGLT4_L4_2.fq.gz
IH605,ZKDN260009748-1A,L8,/data/fastq/IH605/IH605_ZKDN260009748-1A_23H7KYLT3_L8_1.fq.gz,/data/fastq/IH605/IH605_ZKDN260009748-1A_23H7KYLT3_L8_2.fq.gz
IH605,ZKDN260009748-1A,L4,/data/fastq/IH605/IH605_ZKDN260009748-1A_23N7LGLT4_L4_1.fq.gz,/data/fastq/IH605/IH605_ZKDN260009748-1A_23N7LGLT4_L4_2.fq.gz
IH607,ZKDN260009741-1A,L8,/data/fastq/IH607/IH607_ZKDN260009741-1A_23H7KYLT3_L8_1.fq.gz,/data/fastq/IH607/IH607_ZKDN260009741-1A_23H7KYLT3_L8_2.fq.gz
IH607,ZKDN260009741-1A,L4,/data/fastq/IH607/IH607_ZKDN260009741-1A_23N7LGLT4_L4_1.fq.gz,/data/fastq/IH607/IH607_ZKDN260009741-1A_23N7LGLT4_L4_2.fq.gz
IH616,ZKDN260009751-1A,L8,/data/fastq/IH616/IH616_ZKDN260009751-1A_23H7KYLT3_L8_1.fq.gz,/data/fastq/IH616/IH616_ZKDN260009751-1A_23H7KYLT3_L8_2.fq.gz
IH616,ZKDN260009751-1A,L4,/data/fastq/IH616/IH616_ZKDN260009751-1A_23N7LGLT4_L4_1.fq.gz,/data/fastq/IH616/IH616_ZKDN260009751-1A_23N7LGLT4_L4_2.fq.gz
IH619,ZKDN260009742-1A,L8,/data/fastq/IH619/IH619_ZKDN260009742-1A_23H7KYLT3_L8_1.fq.gz,/data/fastq/IH619/IH619_ZKDN260009742-1A_23H7KYLT3_L8_2.fq.gz
